channel,callsign,freq,band,dist,bearing,left_open_bearing,right_open_bearing,rx,antenna,radio,power
280,WB2CMN,442.4,70cm,17.7,270,120,300,0,Survival,FT60R,5w
281,NY4Z,446.275,70cm,17.7,45,120,300,0,Survival,FT60R,5w
282,N2XPM,445.525,70cm,18.3,135,120,300,0,Survival,FT60R,5w
283,W2FCC,446.375,70cm,18.3,225,120,300,0,Survival,FT60R,5w
284,WB2RRA,147.165,2m,18.6,0,120,300,6,Survival,FT60R,5w
285,N2ACF,443.85,70cm,18.6,0,120,300,5,Survival,FT60R,5w
286,WR2I,449.425,70cm,18.6,0,120,300,0,Survival,FT60R,5w
287,WR2I,443.35,70cm,18.7,0,120,300,0,Survival,FT60R,5w
288,NE2S,146.595,2m,18.7,270,120,300,0,Survival,FT60R,5w
289,K2GCL,443.1,70cm,18.8,315,120,300,4,Survival,FT60R,5w
290,K2XD,440.65,70cm,18.8,135,120,300,0,Survival,FT60R,5w
291,KB2AZY,449.675,70cm,19.3,135,120,300,0,Survival,FT60R,5w
292,KB2YHS,444.55,70cm,19.4,135,120,300,0,Survival,FT60R,5w
293,N2EHN,445.575,70cm,19.4,225,120,300,0,Survival,FT60R,5w
294,KA2PBT,445.825,70cm,19.4,225,120,300,0,Survival,FT60R,5w
295,WA2IAF,447.375,70cm,19.4,225,120,300,0,Survival,FT60R,5w
296,WB2ZII,145.11,2m,19.4,45,120,300,0,Survival,FT60R,5w
297,WB2ZII,147.06,2m,19.4,45,120,300,0,Survival,FT60R,5w
298,WB2ZII,447.475,70cm,19.4,45,120,300,0,Survival,FT60R,5w
299,N2ACF,439.225,2m,19.6,225,120,300,0,Survival,FT60R,5w
300,KB2EA,447.725,70cm,19.6,225,120,300,0,Survival,FT60R,5w
301,KB2GTE,444.65,70cm,19.6,45,120,300,0,Survival,FT60R,5w
302,N2PSU,445.925,70cm,19.8,225,120,300,0,Survival,FT60R,5w
303,W2ECA,448.1875,70cm,19.8,45,120,300,0,Survival,FT60R,5w
304,WA2BAT,147.505,2m,19.9,270,120,300,5,Survival,FT60R,5w
305,N2ION,447.925,70cm,20.7,135,120,300,1.5,Survival,FT60R,5w
306,NJ2BC,146.445,2m,20.9,315,120,300,0,Survival,FT60R,5w
307,WB2CYN,147.135,2m,22,90,120,300,0,Survival,FT60R,5w
308,K2CX,443.325,70cm,22,90,120,300,0,Survival,FT60R,5w
309,KB2BWV,443.525,70cm,22,90,120,300,2.5,Survival,FT60R,5w
310,WB2ERS,444.75,70cm,22,90,120,300,0,Survival,FT60R,5w
311,NC2PD,444.8875,70cm,22,90,120,300,0,Survival,FT60R,5w
312,W2NJR,445.025,70cm,21.9,270,120,300,0,Survival,FT60R,5w
313,K2ZV,447.675,70cm,22.2,225,120,300,0,Survival,FT60R,5w
314,NJ5R,444.7,70cm,23.3,225,120,300,0,Survival,FT60R,5w
315,WA2SNA,146.49,2m,23.2,315,120,300,0,Survival,FT60R,5w
316,WA2SNA,446.175,70cm,23.2,315,120,300,0,Survival,FT60R,5w
317,WB2CYN,447.975,70cm,23.6,90,120,300,0,Survival,FT60R,5w
318,N2ACF,146.46,2m,24.3,0,120,300,0,Survival,FT60R,5w
319,N2ACF,444.45,70cm,24.3,0,120,300,0,Survival,FT60R,5w
320,W2TW,147.03,2m,24.5,270,120,300,0,Survival,FT60R,5w
321,WB2JTE,440.1,70cm,24.8,270,120,300,0,Survival,FT60R,5w
